repo,number,state,merged,created_at,closed_or_merged_at,additions,deletions,changed_files,description_length,comments,review_comments,participants
freeCodeCamp/freeCodeCamp,59326,closed,True,2025-03-18T20:15:10Z,2025-03-19T05:23:21Z,1,1,1,750,0,0,2
freeCodeCamp/freeCodeCamp,59321,closed,True,2025-03-18T10:31:43Z,2025-03-18T12:05:22Z,140,97,2,735,1,0,2
freeCodeCamp/freeCodeCamp,59319,closed,True,2025-03-18T10:11:06Z,2025-03-18T15:42:14Z,1,1,1,756,3,0,2
freeCodeCamp/freeCodeCamp,59318,closed,True,2025-03-18T09:08:16Z,2025-03-20T16:18:06Z,87,7,1,794,5,0,2
freeCodeCamp/freeCodeCamp,59315,closed,True,2025-03-18T07:56:12Z,2025-03-18T08:44:08Z,2,2,1,902,1,0,2
freeCodeCamp/freeCodeCamp,59313,closed,True,2025-03-18T05:30:42Z,2025-03-18T09:30:15Z,4,4,1,826,1,0,2
freeCodeCamp/freeCodeCamp,59310,closed,True,2025-03-17T21:06:13Z,2025-03-28T00:14:44Z,21,13,1,750,1,15,4
freeCodeCamp/freeCodeCamp,59306,closed,True,2025-03-17T17:51:38Z,2025-03-25T10:15:39Z,76,25,12,853,9,1,2
freeCodeCamp/freeCodeCamp,59300,closed,True,2025-03-17T14:00:14Z,2025-03-17T14:30:41Z,1,1,1,47,0,0,2
freeCodeCamp/freeCodeCamp,59299,closed,True,2025-03-17T12:25:59Z,2025-03-17T14:06:50Z,60,60,20,45,0,0,2
freeCodeCamp/freeCodeCamp,59297,closed,True,2025-03-17T09:30:40Z,2025-03-19T09:03:45Z,13,4,2,1258,0,0,2
freeCodeCamp/freeCodeCamp,59294,closed,True,2025-03-16T06:48:47Z,2025-03-17T11:40:35Z,1,1,1,771,4,0,2
freeCodeCamp/freeCodeCamp,59287,closed,False,2025-03-15T07:51:37Z,2025-03-15T10:45:30Z,9,0,1,750,0,2,1
freeCodeCamp/freeCodeCamp,59286,closed,True,2025-03-15T07:46:28Z,2025-03-20T20:16:20Z,33,27,2,1482,1,0,2
freeCodeCamp/freeCodeCamp,59283,closed,True,2025-03-14T09:46:07Z,2025-04-04T11:55:44Z,206,29,8,1169,3,1,3
freeCodeCamp/freeCodeCamp,59282,closed,True,2025-03-14T08:53:11Z,2025-04-02T15:37:49Z,16269,23,165,692,5,92,4
freeCodeCamp/freeCodeCamp,59281,closed,True,2025-03-14T07:59:39Z,2025-03-14T18:25:28Z,1,1,1,853,0,0,2
freeCodeCamp/freeCodeCamp,59280,closed,True,2025-03-13T23:27:30Z,2025-03-21T23:05:04Z,12,2,1,750,4,2,2
freeCodeCamp/freeCodeCamp,59279,closed,True,2025-03-13T21:51:47Z,2025-03-17T11:40:19Z,4,4,4,750,2,0,2
freeCodeCamp/freeCodeCamp,59278,closed,True,2025-03-13T21:24:41Z,2025-03-27T13:37:54Z,6405,10,90,1237,5,13,3
freeCodeCamp/freeCodeCamp,59276,closed,False,2025-03-13T18:17:31Z,2025-03-25T14:30:28Z,9,9,1,1056,3,4,2
freeCodeCamp/freeCodeCamp,59272,closed,True,2025-03-13T14:06:23Z,2025-04-02T19:38:14Z,23,16,2,923,0,0,2
freeCodeCamp/freeCodeCamp,59271,closed,True,2025-03-13T11:34:37Z,2025-03-13T12:55:08Z,1,1,1,789,1,0,2
freeCodeCamp/freeCodeCamp,59269,closed,False,2025-03-13T10:06:10Z,2025-03-25T20:10:25Z,7,1,1,751,2,4,2
freeCodeCamp/freeCodeCamp,59268,closed,True,2025-03-13T09:31:36Z,2025-03-13T13:27:20Z,1,1,1,0,0,0,2
freeCodeCamp/freeCodeCamp,59267,closed,True,2025-03-13T07:09:00Z,2025-03-13T14:19:31Z,2,6,2,1121,0,0,2
freeCodeCamp/freeCodeCamp,59263,closed,True,2025-03-12T21:23:43Z,2025-03-24T18:06:34Z,409,102,4,750,2,24,5
freeCodeCamp/freeCodeCamp,59262,closed,True,2025-03-12T20:00:32Z,2025-03-25T21:36:38Z,7,1,1,750,0,7,4
freeCodeCamp/freeCodeCamp,59260,closed,True,2025-03-12T17:45:55Z,2025-03-13T06:46:40Z,4,31,2,1252,1,0,3
freeCodeCamp/freeCodeCamp,59255,closed,True,2025-03-12T14:15:53Z,2025-03-12T17:00:00Z,1,1,1,47,0,0,2
freeCodeCamp/freeCodeCamp,59254,closed,True,2025-03-12T12:26:23Z,2025-03-12T17:01:28Z,68,38,10,45,0,0,2
freeCodeCamp/freeCodeCamp,59252,closed,True,2025-03-12T11:23:24Z,2025-03-13T03:31:46Z,29,7,2,973,2,1,3
freeCodeCamp/freeCodeCamp,59250,closed,True,2025-03-12T10:20:15Z,2025-03-12T12:07:55Z,89,167,2,547,3,1,2
freeCodeCamp/freeCodeCamp,59248,closed,True,2025-03-12T10:08:44Z,2025-03-12T14:55:45Z,4,4,2,751,1,0,2
freeCodeCamp/freeCodeCamp,59245,closed,True,2025-03-12T08:53:24Z,2025-03-12T09:23:58Z,4,4,2,410,0,0,2
freeCodeCamp/freeCodeCamp,59243,closed,True,2025-03-12T08:16:42Z,2025-04-01T05:04:26Z,62,27,4,1245,0,3,4
freeCodeCamp/freeCodeCamp,59239,closed,True,2025-03-12T05:07:44Z,2025-03-12T05:46:25Z,1,1,1,748,0,0,2
freeCodeCamp/freeCodeCamp,59237,closed,True,2025-03-12T01:53:33Z,2025-03-12T03:24:11Z,1,1,1,905,0,0,1
freeCodeCamp/freeCodeCamp,59233,closed,True,2025-03-11T20:51:44Z,2025-03-13T05:29:07Z,5,5,5,750,2,0,2
freeCodeCamp/freeCodeCamp,59229,closed,True,2025-03-11T17:06:25Z,2025-03-11T18:40:53Z,1,1,1,47,0,0,2
freeCodeCamp/freeCodeCamp,59228,closed,True,2025-03-11T16:07:28Z,2025-03-13T22:24:41Z,55,4,4,909,1,0,2
freeCodeCamp/freeCodeCamp,59227,closed,True,2025-03-11T15:36:25Z,2025-03-11T17:44:16Z,490,188,20,45,0,0,2
freeCodeCamp/freeCodeCamp,59226,closed,False,2025-03-11T15:07:41Z,2025-03-12T08:32:37Z,2,2,2,410,0,1,1
freeCodeCamp/freeCodeCamp,59225,closed,True,2025-03-11T15:04:58Z,2025-03-12T12:55:17Z,2,2,2,1110,0,0,2
freeCodeCamp/freeCodeCamp,59222,closed,True,2025-03-11T10:21:20Z,2025-03-14T13:30:23Z,6,148,2,414,6,3,2
freeCodeCamp/freeCodeCamp,59221,closed,True,2025-03-11T09:47:16Z,2025-03-11T15:17:11Z,1,1,1,410,1,0,2
